objectid,filename,youtubeid,vimeoid,title,occupation,date_lifespan,creator,date_certain,date,description,identifier,subject,location,latitude,longitude,source,type,format,language,rights,rightsstatement
coll0069,FGV_Visitkort_034A.jpg,,,"Odhner, Ebba",,,Swen Swenssson,,1895,Frk. Ebba Odhner,F1964_1964,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0070,FGV_Visitkort_034B.jpg,,,"Odhner, Ebba",,,Swen Swenssson,,1895,Frk. Ebba Odhner,F1964_1964,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0071,FGV_Visitkort_035A.jpg,,,"Alexandersson, Per",Handlande,,,,1873,Per Alexandersson,F1964_1974,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0072,FGV_Visitkort_035B.jpg,,,"Alexandersson, Per",Handlande,,,,1873,Per Alexandersson,F1964_1974,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0073,FGV_Visitkort_036A.jpg,,,"Johansson, Matilda",Barnmorska,,Fredrique Holmstedt,,1897,Matilda Johansson. Barnmorska. EHJ s. 274. Tidigt änka. Dottern Alma privatlärarinna.,F1964_1977,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0074,FGV_Visitkort_036B.jpg,,,"Johansson, Matilda",Barnmorska,,Fredrique Holmstedt,,1897,Matilda Johansson. Barnmorska. EHJ s. 274. Tidigt änka. Dottern Alma privatlärarinna.,F1964_1977,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0075,FGV_Visitkort_037A.jpg,,,"Odhner, Maria",,,Anders Andersson,,1877,Maria Odhner,F1964_1962,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0076,FGV_Visitkort_037B.jpg,,,"Odhner, Maria",,,Anders Andersson,,1877,Maria Odhner,F1964_1962,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0077,FGV_Visitkort_038A.jpg,,,"Ström, Hjalmar",,,Anders Andersson,,1874,Signe Ström. Modern född Regnstrand.,F1964_1984,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0078,FGV_Visitkort_038B.jpg,,,"Ström, Signe",,,Anders Andersson,,1874,Signe Ström. Modern född Regnstrand.,F1964_1984,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0079,FGV_Visitkort_039A.jpg,,,"Ström, Hjalmar",,,Anders Andersson,,1874,Hjalmar Ström,F1964_1985,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0080,FGV_Visitkort_039B.jpg,,,"Ström, Hjalmar",,,Anders Andersson,,1874,Hjalmar Ström,F1964_1985,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0081,FGV_Visitkort_040A.jpg,,,"Ström, Elsa",,,John Wallgren,,1895,Elsa Ström,F1964_1986,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0082,FGV_Visitkort_040B.jpg,,,"Ström, Elsa",,,John Wallgren,,1895,Elsa Ström,F1964_1986,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0083,FGV_Visitkort_041A.jpg,,,"Wong, Alfred",Telegrafkommissarie,1823-1878,,,1870,Alfred Wong,F1964_1988,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0084,FGV_Visitkort_041B.jpg,,,"Wong, Alfred",Telegrafkommissarie,1823-1878,,,1870,Alfred Wong,F1964_1988,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0085,FGV_Visitkort_042A.jpg,,,"Wong, fru",,,,,1870,Fru Wong,F1964_1989,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0086,FGV_Visitkort_042B.jpg,,,"Wong, fru",,,,,1870,Fru Wong,F1964_1989,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0087,FGV_Visitkort_043A.jpg,,,"Wong, Helge",,,Alfred Vougt,,1874,Helge Wong,F1964_1991,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0088,FGV_Visitkort_043B.jpg,,,"Wong, Helge",,,Alfred Vougt,,1874,Helge Wong,F1964_1991,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0089,FGV_Visitkort_044A.jpg,,,"Wong, Anna",,,Anders Andersson,,1874,Frk. Anna Wong,F1964_1990,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
